city,state,shape,duration,date_time,lon,lat
New Iberia,LA,formation,2 seconds,2020-03-12T16:43:00,-91.83132459016392,29.979059016393443
Eagle River,AK,circle,4 minutes,2020-03-12T20:57:00,-149.2583,61.2149
Latrobe,PA,circle,25 seconds,2020-03-14T00:40:00,-79.3821,40.2837
Newport News,VA,cylinder,60 seconds,2020-03-14T15:00:00,-76.4911945945946,37.09237713097713
Saint Paul,MN,other,3 minutes,2020-03-14T21:40:00,-93.11475467362924,44.95305527415144
Friendswood,TX,disk,15 seconds,2020-03-17T22:02:00,-95.19053777777778,29.51453777777777
Reno,NV,formation,5 minutes,2020-03-17T19:44:00,-119.8174511061947,39.50650741150443
Saint Paul,MN,formation,3 minutes,2020-03-14T21:40:00,-93.11475467362924,44.95305527415144
Pioneer,OH,light,UFO sighting,2020-03-18T09:15:00,-84.5342,41.6449
Poulsbo,WA,other,3 seconds,2020-03-19T20:30:00,-122.6123,47.75370000000001
Cle Elum,WA,circle,2-3 minutes,2020-03-21T20:21:00,-120.9022,47.2073
Pinole,CA,oval,2-3 minutes,2020-03-22T16:00:00,-122.2761,37.9927
Dingmans Ferry,PA,disk,5 seconds,2020-03-24T18:00:00,-75.0086,41.2171
Lewistown,MT,circle,5 minutes,2020-03-25T10:00:00,-109.3429,47.0127
Hanksville,UT,light,15 minutes,2020-03-25T22:00:00,-110.7501,38.2786
La Verne,CA,other,35 minutes,2020-03-27T03:00:00,-117.7678,34.1008
Sauk Centre,MN,light,15 seconds,2020-03-27T20:30:00,-94.9847,45.7265
Chattanooga,TN,oval,1-2 minutes,2020-03-27T23:30:00,-85.27057024875621,35.05513711442786
Lynchburg,VA,chevron,10 minutes,2020-03-28T22:00:00,-79.18785337243402,37.369108797653965
Johnson City,TN,light,2-5 minutes,2020-03-29T01:15:00,-82.35638939641109,36.32375334420881
Alhambra,CA,formation,30 seconds,2020-03-29T08:45:00,-118.13867490909092,34.08404181818182
Citronelle,AL,circle,35 minutes,2020-03-29T11:00:00,-88.26560000000002,31.0906
Maxwell,IA,light,20 minutes,2020-03-29T20:00:00,-93.3996,41.8919
Evergreen,CO,light,20 minutes,2020-03-29T20:35:00,-105.43921428571429,39.65298571428571
Smilax,KY,sphere,1 minute,2020-03-29T21:50:00,-83.2493,37.1212
Smilax,KY,sphere,1 minute,2020-03-29T21:50:00,-83.2493,37.1212
Saint John,KS,diamond,2 hours,2020-03-29T22:00:00,-98.7936,38.0286
Williamsburg,VA,other,3 seconds,2020-03-29T22:00:00,-76.73795308056873,37.305810900473936
Shelbyville,IN,sphere,5 minutes,2020-03-29T22:03:00,-85.78530000000002,39.5239
Miami,FL,rectangle,5 seconds,2020-03-29T23:00:00,-80.28951850011829,25.7741427135084
South Bend,IN,flash,Few seconds,2020-03-30T01:00:00,-86.27111065375303,41.67504576271187
Bradenton,FL,chevron,3 seconds,2020-03-30T02:00:00,-82.52932940320234,27.46096710334789
Rockford,IL,formation,2 minutes,2020-03-30T16:30:00,-89.04477790507364,42.27738134206219
Kensington,MD,circle,4-5 minutes,2020-03-30T20:47:00,-77.0771880597015,39.02560149253731
Whiteford,MD,light,>15 minutes,2020-03-30T20:50:00,-76.3228,39.7015
Leesburg,VA,oval,5 minutes,2020-03-30T21:00:00,-77.56384726027397,39.12245205479452
Leesburg,FL,light,1 minute,2020-03-30T21:15:00,-81.82943058252428,28.80167766990291
Seward,AK,light,Several hours,2020-03-30T21:30:00,-149.3365,60.0552
Lakewood,CO,disk,5 minutes,2020-03-30T22:50:00,-105.0814,39.7047
Plymouth,NH,light,Half hour,2020-03-31T10:20:00,-71.7163,43.7173
Chemainus,BC,unknown,2 minutes,2020-03-30T23:00:00,-123.7187,48.9203
Edmonds,WA,formation,6-7 minutes,2020-03-31T05:40:00,-122.3462679245283,47.82623459119497
Ankeny,IA,formation,4-5 minutes,2020-03-31T12:05:00,-93.60418855721392,41.72777412935324
Rancho Palos Verdes,CA,light,30 minutes,2020-03-31T19:30:00,-118.3163,33.7584
Portland,ME,light,30 minutes,2020-03-31T20:00:00,-70.2808476923077,43.67350846153846
Covington,GA,light,~15 minutes,2020-03-31T21:35:00,-83.90798959276019,33.532509954751134
Broken Arrow,OK,formation,1 minute,2020-03-31T21:41:00,-95.74454621409922,36.033572323759785
Hornell,NY,flash,1 second,2020-03-31T21:56:00,-77.6315,42.3056
Framingham,MA,light,10 minutes,2020-03-31T22:20:00,-71.42773372434017,42.30600967741936
Center Conway,NH,light,20 minutes +,2020-03-31T23:00:00,-71.0574,44.1411
Negley,OH,circle,20 minutes,2020-04-01T20:00:00,-80.5559,40.7626
Kingston,ON,cigar,1 minute,2020-03-31T22:40:00,-76.5252768321513,44.2619035460993
Anderson,SC,light,30+ minutes,2020-04-01T04:00:00,-82.64779851485149,34.49168811881188
Johnson City,TX,formation,45 minutes,2020-04-01T20:15:00,-98.3944,30.3157
Enola,PA,chevron,1 minute,2020-04-01T20:30:00,-77.0022,40.2918
Babylon,NY,changing,1 hour,2020-04-01T21:00:00,-73.365,40.6278
Pompton Lakes,NJ,other,5 min,2020-04-01T21:00:00,-74.2848,41.0019
Las Vegas,NV,light,45 minutes,2020-04-01T21:30:00,-115.18659190010855,36.14124586319218
Mesa,AZ,oval,3 seconds,2020-04-02T00:48:00,-111.772797322253,33.42126454293629
Marilla,NY,disk,awhile,2020-04-02T13:00:00,-78.5573,42.8368
Spokane,WA,light,30 seconds,2020-04-02T20:00:00,-117.38633105431308,47.68357629392971
Phoenix,AZ,sphere,2+ hours,2020-04-02T20:30:00,-112.04946,33.535380550607286
Beaumont,TX,light,10 minutes,2020-04-02T21:05:00,-94.17593579335794,30.068837269372693
Kaysville,UT,unknown,10 seconds,2020-04-03T15:45:00,-111.9205,41.0285
Ukiah,CA,light,2 minutes,2020-04-03T20:18:00,-123.2805,39.1266
Cincinnati,OH,triangle,5 minutes,2020-04-03T21:25:00,-84.48136299381886,39.17450311744155
Bullhead City,AZ,circle,1 minute,2020-04-03T21:26:00,-114.56282311827955,35.084078494623654
Hyrum,UT,light,20 minutes,2020-04-03T22:30:00,-111.7241,41.6065
Longmont,CO,flash,2 seconds,2020-04-03T23:00:00,-105.085449694501,40.1703733197556
Meridian,ID,triangle,3 seconds,2020-04-04T00:00:00,-116.40865226130651,43.60516381909548
Welch,MN,unknown,4 minutes,2020-04-04T20:30:00,-92.7002,44.5808
Raynham,MA,circle,5 minutes,2020-04-04T21:45:00,-71.0586,41.9391
Elgin,IL,changing,2-3 minutes,2020-04-05T14:00:00,-88.29332222222222,42.02871111111112
Calhoun,GA,light,2 minutes,2020-04-05T21:00:00,-84.91442702702702,34.494972972972974
Fayetteville,AR,sphere,1:00,2020-04-05T21:50:00,-94.04453777777778,36.04787185185185
Cheshire,CT,unknown,1 hour or so,2020-04-05T23:00:00,-72.90789154929578,41.50570563380282
Decatur,GA,sphere,30 minutes,2020-04-06T04:00:00,-84.26857784810126,33.744850632911394
West Branch,IA,light,00:05 aka 5 mins,2020-04-06T19:30:00,-91.3127,41.6949
Warrior,AL,egg,10 minutes,2020-04-07T18:00:00,-86.84,33.8185
Fort Lauderdale,FL,fireball,10 seconds,2020-04-07T18:45:00,-80.21914075569657,26.136914681280647
Bozeman,MT,sphere,1 minute,2020-04-07T19:02:00,-111.05357489878544,45.70981012145749
Boca Raton,FL,light,30 seconds,2020-04-07T19:30:00,-80.13787724014337,26.36806182795699
Edmonds,WA,circle,2 minutes,2020-04-07T21:00:00,-122.3462679245283,47.82623459119497
Snohomish,WA,formation,15 minutes,2020-04-07T21:00:00,-122.03520680851064,47.91181404255319
Honey Brook,PA,triangle,5-7 minutes,2020-04-07T21:15:00,-75.8693,40.0799
Fort Lauderdale,FL,circle,>2 minutes,2020-04-07T21:55:00,-80.21914075569657,26.136914681280647
Portland,ME,other,20 second,2020-04-08T11:00:00,-70.2808476923077,43.67350846153846
Utica,NY,circle,1min,2020-04-08T11:00:00,-75.1740988372093,43.11854496124031
Spirit lake,ID,circle,5 minutes,2020-04-08T20:30:00,-116.8685,47.9663
Junction City,OR,oval,5 minutes,2020-04-08T22:30:00,-123.28499999999998,44.2119
Quakertown,PA,circle,10mins,2020-04-08T22:59:00,-75.3416,40.4418
Saskatoon,SK,changing,&gt;10 seconds,2020-04-09T00:00:00,-106.6692323974082,52.1078373650108
Prattville,AL,sphere,5 minutes,2020-04-09T05:00:00,-86.50345098039215,32.49526862745098
Powell River,BC,disk,3 minutes,2020-04-09T11:00:00,-124.3226,50.0163
Anacortes,WA,cylinder,15 seconds,2020-04-09T15:40:00,-122.6092,48.4648
Davenport,WA,circle,.30,2020-04-09T21:00:00,-118.1978,47.67499999999999
Hartford,CT,light,30 minutes,2020-04-09T22:30:00,-72.67890154155495,41.76654101876675
Watervliet,NY,circle,20 minutes,2020-04-10T21:00:00,-73.7204,42.7355
Dubach,LA,light,3 minutes,2020-04-10T10:15:00,-92.6707,32.6975
Norwalk,CT,unknown,40 minutes,2020-04-10T21:00:00,-73.425133481153,41.11917184035477
Louisville,KY,light,30 seconds,2020-04-10T01:20:00,-85.68918456444217,38.21121446765155
Silver Spring,MD,oval,20 minutes,2020-04-10T09:00:00,-77.02814088431253,39.03697964869776
Lake Mills,WI,other,2 hours,2020-04-09T21:11:00,-88.9186,43.0845
Shady Side,MD,light,20 minutes,2020-04-10T21:00:00,-76.5114,38.8288
Ashburn,VA,light,15 minutes,2020-04-10T21:15:00,-77.5253474306503,39.022742201000455
Hamilton,ON,light,10 minutes,2020-04-10T21:15:00,-79.86514418377321,43.23776070381232
Madison,CT,light,5 minutes,2020-04-10T21:30:00,-72.6413,41.3433
Bend,OR,unknown,30 min,2020-04-10T21:38:00,-121.280183880597,44.02208328358208
Rocky Hill,CT,circle,45 min,2020-04-10T22:00:00,-72.6393,41.6648
Toronto,ON,light,15 min,2020-04-10T22:00:00,-79.414188349018,43.67588634410802
Reading,PA,circle,1.5 hours,2020-04-10T22:00:00,-75.94901358344114,40.33998809831824
Clifton park,NY,circle,2 hours,2020-04-10T22:15:00,-73.7993,42.8571
Clifton Heights,PA,light,30 minutes,2020-04-10T23:00:00,-75.2945,39.9221
Pleasant City,OH,light,>1 hour,2020-04-10T23:15:00,-81.5256,39.8737
Woodland,CA,circle,45-1hr,2020-04-11T00:07:00,-121.79490860927152,38.70717218543046
Frackville,PA,cigar,3-3 1/2,2020-04-11T00:58:00,-76.223,40.7852
Byron,NY,light,2 minutes,2020-04-11T09:15:00,-78.0706,43.0868
Monroe township,NJ,circle,3 hours,2020-04-11T10:04:00,-74.4179,40.3305
Medford,OR,oval,30 minutes,2020-04-11T16:00:00,-122.84606678200691,42.315149480968856
Junction City,OR,sphere,45 minutes,2020-04-11T20:00:00,-123.28499999999998,44.2119
Natick,MA,light,5 minutes,2020-04-11T20:25:00,-71.3524,42.2873
Hanceville,AL,light,5,2020-04-11T21:05:00,-86.8316,34.004
Quakertown,PA,circle,54,2020-04-11T21:09:00,-75.3416,40.4418
Vancouver,WA,unknown,multiple days,2020-04-11T21:20:00,-122.58490839694656,45.65808015267176
Wilmington,OH,sphere,5-7 minutes,2020-04-11T22:00:00,-83.8172,39.4611
Malden,MA,circle,1 hour,2020-04-11T22:00:00,-71.0662,42.4251
Ellington,CT,light,5-10 minutes,2020-04-11T22:00:00,-72.4728,41.9072
Oxford,OH,light,15 min,2020-04-11T22:00:00,-84.713,39.4792
Rincon,GA,cylinder,1 minute,2020-04-11T22:15:00,-81.2182,32.2923
Perth Amboy,NJ,light,30min,2020-04-11T22:30:00,-74.27375409836066,40.519245901639344
Miami,FL,changing,30 secconds,2020-04-12T02:00:00,-80.28951850011829,25.7741427135084
Oakley,UT,light,30 seconds,2020-04-12T02:45:00,-111.3007,40.7147
Canby,OR,formation,05:57,2020-04-12T05:00:00,-122.6667,45.216
Cloverdale,OR,circle,30 minw,2020-04-12T05:00:00,-123.9207,45.2271
Surrey,BC,circle,15 minutes,2020-04-12T05:00:00,-122.80632944881889,49.13031102362204
Longview,WA,unknown,30 minutes,2020-04-12T05:15:00,-123.0548,46.1933
Ferndale,WA,light,15 minutes,2020-04-12T05:20:00,-122.6307,48.8645
Graham,WA,other,5-6 minutes,2020-04-12T05:30:00,-122.2968,47.0173
Oregon City,OR,light,at least 15 minutes,2020-04-12T05:33:00,-122.6068,45.3573
Montgomery,AL,sphere,seconds,2020-04-12T12:00:00,-86.2398247156153,32.372222543950365
Las Vegas,NV,fireball,2 minutes,2020-04-12T20:13:00,-115.18659190010855,36.14124586319218
Coronado,CA,light,5 minutes,2020-04-12T21:00:00,-117.15016857142858,32.65151142857143
Emory,TX,light,25,2020-04-12T21:13:00,-95.7591,32.8391
Bandon,OR,fireball,2 minutes,2020-04-12T23:00:00,-124.368,43.0596
